Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
genCapacity           Cd_psi           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-2pt5_Tiny.npz           0.1391           1.8182           6.5387           3.4273           0.4692
swipeQuality           Cd_psi           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.0139           5.0909           4.53           3.0174           0.4881
dgbqa           euclid           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2413           1.4545           8.5006           2.1387           0.5408
deltaDistance           euclid           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           euclid           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           euclid           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-1_Tiny.npz           0.2144           1.2727           7.7425           3.2035           0.5151
swipeQuality           euclid           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           corr           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2413           1.4545           8.5006           2.1387           0.5408
deltaDistance           corr           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           corr           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           corr           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-1_Tiny.npz           0.2144           1.2727           7.7425           3.2035           0.5151
swipeQuality           corr           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           DCG           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny.npz           0.2451           1.4545           8.4478           2.2668           0.502
deltaDistance           DCG           ./Embeddings/MS_TAM_1-1pt5_Tiny.npz           0.0852           2.3636           7.8719           3.2788           0.5703
masterFace           DCG           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           DCG           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-1_Tiny.npz           0.2144           1.2727           7.7425           3.2035           0.5151
swipeQuality           DCG           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           Kendall           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny.npz           0.2451           1.4545           8.4478           2.2668           0.502
deltaDistance           Kendall           ./Embeddings/MS_TAM_1-1_Tiny.npz           0.1503           2.0           7.0006           3.3392           0.6514
masterFace           Kendall           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny.npz           0.2547           1.0909           8.1552           3.3549           0.502
genCapacity           Kendall           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.222           1.4545           7.2666           4.4466           0.5408
swipeQuality           Kendall           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-1_Tiny.npz           0.0432           4.5455           4.5401           5.177           0.5151
dgbqa           ERR           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny.npz           0.2451           1.4545           8.4478           2.2668           0.502
deltaDistance           ERR           ./Embeddings/MS_TAM_1-1pt5_Tiny.npz           0.0852           2.3636           7.8719           3.2788           0.5703
masterFace           ERR           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           ERR           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-1_Tiny.npz           0.2144           1.2727           7.7425           3.2035           0.5151
swipeQuality           ERR           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           U           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2413           1.4545           8.5006           2.1387           0.5408
deltaDistance           U           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           U           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           U           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-1_Tiny.npz           0.2144           1.2727           7.7425           3.2035           0.5151
swipeQuality           U           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           GRE           ./Embeddings/MS_MF_1-1_Tiny.npz           0.2369           1.4545           8.3732           2.2927           0.5098
deltaDistance           GRE           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           GRE           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           GRE           ./Embeddings/MS_TAM_1-1pt5_Tiny.npz           0.1973           1.0909           7.2056           3.9245           0.5703
swipeQuality           GRE           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           infAp           ./Embeddings/MS_MF_1-1pt5_Tiny.npz           0.301           1.4545           8.2872           2.2759           0.4836
deltaDistance           infAp           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-2pt5_Tiny.npz           0.1389           2.0           7.9444           2.9874           0.4692
masterFace           infAp           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny.npz           0.2547           1.0909           8.1552           3.3549           0.502
genCapacity           infAp           ./Embeddings/MS_TAM_1-1pt5_Tiny.npz           0.1973           1.0909           7.2056           3.9245           0.5703
swipeQuality           infAp           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           NegRel           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny.npz           0.2451           1.4545           8.4478           2.2668           0.502
deltaDistance           NegRel           ./Embeddings/MS_MF_1-1pt5_Tiny.npz           0.0471           3.6364           6.0455           5.2918           0.4836
masterFace           NegRel           ./Embeddings/MS_TAM_1-1_Tiny.npz           0.1695           2.0           7.4957           3.8971           0.6514
genCapacity           NegRel           ./Embeddings/MS_MF_1-1pt5_Tiny.npz           0.1397           2.3636           6.9926           4.5885           0.4836
swipeQuality           NegRel           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           RPP           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-2pt5_Tiny.npz           0.2643           1.2727           8.3498           2.5903           0.4692
deltaDistance           RPP           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           RPP           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           RPP           ./Embeddings/MS_MF_1-1pt5_Tiny.npz           0.1397           2.3636           6.9926           4.5885           0.4836
swipeQuality           RPP           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           relEnt           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-2pt5_Tiny.npz           0.2643           1.2727           8.3498           2.5903           0.4692
deltaDistance           relEnt           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-2pt5_Tiny.npz           0.1389           2.0           7.9444           2.9874           0.4692
masterFace           relEnt           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           relEnt           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.1923           1.6364           7.4435           4.3702           0.4881
swipeQuality           relEnt           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
