Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
masterFace           psi           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1_sensorGyro_bdb.npz           0.0847           1.5           2.067           3.2496           0.1712
swipeQuality           psi           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-2-pt1_sensorGyro_bdb.npz           0.0426           2.0           1.7584           2.4643           0.1398
dgbqa           Ar           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           Ar           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           Ar           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           Ar           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorGyro_bdb.npz           0.0971           1.75           2.067           3.2496           0.1321
swipeQuality           Ar           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           ArCd           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           ArCd           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           ArCd           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorGyro_bdb.npz           0.1274           1.5           2.5           3.3923           0.1321
genCapacity           ArCd           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorGyro_bdb.npz           0.0971           1.75           2.067           3.2496           0.1321
swipeQuality           ArCd           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           Ar_psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           Ar_psi           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           Ar_psi           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           Ar_psi           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorGyro_bdb.npz           0.0971           1.75           2.067           3.2496           0.1321
swipeQuality           Ar_psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           Cd_psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           Cd_psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0925           1.5           2.1375           2.8844           0.0965
masterFace           Cd_psi           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorGyro_bdb.npz           0.1274           1.5           2.5           3.3923           0.1321
genCapacity           Cd_psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0896           1.5           2.067           3.2496           0.0965
swipeQuality           Cd_psi           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-2-pt1_sensorGyro_bdb.npz           0.0426           2.0           1.7584           2.4643           0.1398
dgbqa           euclid           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           euclid           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           euclid           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           euclid           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1_sensorGyro_bdb.npz           0.0847           1.5           2.067           3.2496           0.1712
swipeQuality           euclid           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           corr           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           corr           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           corr           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           corr           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1_sensorGyro_bdb.npz           0.0847           1.5           2.067           3.2496           0.1712
swipeQuality           corr           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           DCG           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           DCG           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           DCG           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-2-1_sensorGyro_bdb.npz           0.0326           1.5           1.6352           6.4977           0.2153
genCapacity           DCG           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1_sensorGyro_bdb.npz           0.0847           1.5           2.067           3.2496           0.1712
