Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
genCapacity           U           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0708           1.5           2.067           3.7481           0.2471
swipeQuality           U           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-pt1_sensorMagn_bdb.npz           0.0361           2.0           2.0382           3.6457           0.2821
dgbqa           GRE           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
deltaDistance           GRE           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           GRE           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
genCapacity           GRE           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0766           1.75           2.067           3.7481           0.2834
swipeQuality           GRE           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0352           2.0           1.9445           3.5595           0.2834
dgbqa           infAp           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
deltaDistance           infAp           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           infAp           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
genCapacity           infAp           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0766           1.75           2.067           3.7481           0.2834
swipeQuality           infAp           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0352           2.0           1.9445           3.5595           0.2834
dgbqa           NegRel           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-1pt5_sensorMagn_bdb.npz           0.039           2.0           1.9784           2.993           0.1584
deltaDistance           NegRel           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-2-1_sensorMagn_bdb.npz           0.0385           2.0           1.8668           2.9906           0.1399
