Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           ERR           ./Embeddings/MS_MViT_pt5-pt5_HandLogin.npz           0.454           0.5           3.9355           3.1904           0.3134
deltaDistance           ERR           ./Embeddings/Test/DGBQA_CGID_Res3D-MF_1pt5-2pt5_HandLogin.npz           0.4608           1.0           3.7854           3.1223           0.2464
masterFace           ERR           ./Embeddings/MS_TPN_pt5-pt5_HandLogin.npz           0.417           1.0           3.7564           3.1881           0.2875
swipeQuality           ERR           ./Embeddings/MS_TPN_pt5-pt5_HandLogin.npz           0.5559           0.5           3.8103           2.9861           0.2875
dgbqa           U           ./Embeddings/MS_MViT_1-1pt5_HandLogin.npz           0.6456           0.0           4.1232           1.2563           0.284
deltaDistance           U           ./Embeddings/MS_ViViT_pt5-1_HandLogin.npz           0.666           0.0           4.1469           1.8596           0.3006
masterFace           U           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           U           ./Embeddings/MS_TPN_1pt5-2pt5_HandLogin.npz           0.749           0.25           4.0856           2.709           0.001
dgbqa           GRE           ./Embeddings/MS_MViT_pt5-1_HandLogin.npz           0.575           0.0           4.1126           2.0918           0.3275
deltaDistance           GRE           ./Embeddings/MS_ViViT_pt5-1_HandLogin.npz           0.666           0.0           4.1469           1.8596           0.3006
masterFace           GRE           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           GRE           ./Embeddings/MS_TPN_1pt5-2pt5_HandLogin.npz           0.749           0.25           4.0856           2.709           0.001
dgbqa           infAp           ./Embeddings/MS_MViT_pt5-1_HandLogin.npz           0.575           0.0           4.1126           2.0918           0.3275
deltaDistance           infAp           ./Embeddings/MS_ViViT_pt5-1_HandLogin.npz           0.666           0.0           4.1469           1.8596           0.3006
masterFace           infAp           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.6366           0.0           4.1432           1.7404           0.3726
genCapacity           infAp           ./Embeddings/MS_ViViT_pt5-pt5_HandLogin.npz           0.6302           0.0           3.9652           2.8535           0.3146
swipeQuality           infAp           ./Embeddings/MS_TPN_1pt5-2pt5_HandLogin.npz           0.749           0.25           4.0856           2.709           0.001
dgbqa           NegRel           ./Embeddings/Test/DGBQA_CGID_Res3D-MF_1pt5-1pt5_HandLogin.npz           0.3635           1.0           3.1694           4.1858           0.2842
deltaDistance           NegRel           ./Embeddings/MS_TPN_pt5-pt5_HandLogin.npz           0.384           1.0           3.5926           3.5906           0.2875
masterFace           NegRel           ./Embeddings/MS_TPN_1pt5-pt5_HandLogin.npz           0.3567           1.0           3.444           3.9647           0.2168
swipeQuality           NegRel           ./Embeddings/MS_ViViT_1-1pt5_HandLogin.npz           0.409           1.0           3.4518           3.7741           0.3034
dgbqa           RPP           ./Embeddings/MS_MViT_1pt5-1_HandLogin.npz           0.56           0.0           4.0837           2.2036           0.3181
deltaDistance           RPP           ./Embeddings/Test/DGBQA_CGID_Res3D-MF_1-pt5_HandLogin.npz           0.6102           0.0           4.0953           2.6141           0.3283
masterFace           RPP           ./Embeddings/MS_MViT_1pt5-1_HandLogin.npz           0.5678           0.0           4.0951           2.1267           0.3181
swipeQuality           RPP           ./Embeddings/MS_TPN_1pt5-2pt5_HandLogin.npz           0.749           0.25           4.0856           2.709           0.001
dgbqa           relEnt           ./Embeddings/MS_TPN_1pt5-1_HandLogin.npz           0.4883           0.5           4.0212           2.1376           0.0093
deltaDistance           relEnt           ./Embeddings/MS_TPN_1pt5-1_HandLogin.npz           0.5163           0.5           3.8945           3.4145           0.0093
masterFace           relEnt           ./Embeddings/MS_TPN_1pt5-2pt5_HandLogin.npz           0.521           0.75           3.5979           3.5259           0.001
swipeQuality           relEnt           ./Embeddings/MS_TPN_1pt5-2pt5_HandLogin.npz           0.749           0.25           4.0856           2.709           0.001
